asset,parameter,current_evidence,required_evidence,status
genset,ramp_up_limit,surrogate_trace_only,target_SCADA_or_OEM_curve,OPEN
genset,ramp_down_limit,surrogate_trace_only,target_SCADA_or_OEM_curve,OPEN
genset,minimum_on_time,surrogate_trace_only,target_controller_setting,OPEN
genset,minimum_off_time,surrogate_trace_only,target_controller_setting,OPEN
genset,minimum_stable_power,project_spec_example,target_OEM_or_commissioning_test,OPEN
genset,fuel_curve,public_700kW_reference_not_target_240kW,target_OEM_curve_or_fuel_meter,OPEN
storage,charge_discharge_efficiency,engineering_assumption,PCS_BMS_test,OPEN
storage,usable_energy_and_SOH,public_prototype_plus_surrogate_trace,target_BMS_export,OPEN
storage,degradation_coefficients,absent,cell_OEM_curve_plus_cycle_history,OPEN
storage,SOC_operating_limits,benchmark_assumption,target_BMS_setting_and_safety_signoff,OPEN
